Time (s), encoder.pos
0.016192,75000000.000000
0.047880,75000000.000000
0.079899,75000000.000000
0.111751,75000000.000000
0.143740,75000000.000000
0.175613,75000000.000000
0.207631,75000000.000000
0.239591,75000000.000000
0.271608,75000000.000000
0.303400,75000000.000000
0.335261,75000000.000000
0.367275,75000000.000000
0.399149,75000000.000000
0.431113,75000000.000000
0.463008,74999904.000000
0.495022,75000096.000000
0.526853,75000000.000000
0.558918,75000000.000000
0.590767,75000000.000000
0.622845,75000000.000000
0.654686,74999696.000000
0.686681,74999904.000000
0.718536,75001000.000000
0.750401,75000096.000000
0.782429,75000000.000000
0.814281,74999904.000000
0.846320,74999904.000000
0.878146,74999904.000000
0.910120,75000000.000000
0.941989,75000000.000000
0.974026,75000000.000000
1.006170,74999600.000000
1.038010,74937696.000000
1.069750,74621600.000000
1.101770,73772896.000000
1.133680,72264704.000000
1.165680,70119200.000000
1.197520,66875300.000000
1.229510,62063500.000000
1.261360,55355600.000000
1.293390,47536500.000000
1.325370,39556200.000000
1.357380,31533600.000000
1.389340,23594100.000000
1.421200,16869700.000000
1.453140,12125100.000000
1.485080,8679750.000000
1.516990,6304240.000000
1.549010,4793920.000000
1.580880,3853210.000000
1.612770,3235380.000000
1.644790,2703030.000000
1.676640,1697650.000000
1.708630,266600.000000
1.740500,31906.000000
1.772650,3533.000000
1.804420,154.000000
1.836460,-101.000000
1.868310,-74.000000
1.900360,-7.000000
1.932140,-26.000000
1.964020,-1.000000
1.996000,-6.000000
2.028020,-10.000000
2.059910,0.000000
2.091870,45168.000000
2.123780,230204.000000
2.155740,792113.000000
2.187640,1957230.000000
2.219540,4014940.000000
2.251550,7073340.000000
2.283420,10753600.000000
2.315440,14511200.000000
2.347300,18279800.000000
2.379310,21981700.000000
2.411170,24962500.000000
2.443170,27001300.000000
2.475070,28168700.000000
2.507020,28768800.000000
2.538900,29035100.000000
2.570880,29103400.000000
2.602920,29112100.000000
2.634720,29091200.000000
2.666660,29060300.000000
2.698590,29030400.000000
2.730540,29013700.000000
2.762400,29039200.000000
2.794290,29242600.000000
2.826310,30074000.000000
2.858160,31837700.000000
2.890150,34254200.000000
2.922110,36780300.000000
2.954030,39302200.000000
2.986040,41752000.000000
3.017930,43660600.000000
3.049790,44842700.000000
3.081830,45421600.000000
3.113650,45591700.000000
3.145540,45614600.000000
3.177530,45617300.000000
3.209420,45617700.000000
3.241400,45622200.000000
3.273290,45693600.000000
3.305330,46096700.000000
3.337220,47217200.000000
3.369230,49509800.000000
3.401080,53215700.000000
3.432970,58273100.000000
3.464940,64221100.000000
3.496780,70302400.000000
3.528670,74284400.000000
3.560710,74917104.000000
3.592520,74990000.000000
3.624530,74999000.000000
3.656420,75000000.000000
3.688560,75000000.000000
3.720390,75000000.000000
3.752390,75000704.000000
3.784210,75000000.000000
3.816190,75000096.000000
3.848040,74980200.000000
3.880060,74793000.000000
3.911960,74056000.000000
3.943960,72354600.000000
3.975820,69754800.000000
4.007690,66062000.000000
4.039690,60914100.000000
4.071690,54354500.000000
4.103680,46783000.000000
4.135430,38822400.000000
4.167500,30904300.000000
4.199300,24335800.000000
4.231350,19851400.000000
4.263190,17184000.000000
4.295180,15770800.000000
4.327080,15150100.000000
4.359070,14958200.000000
4.390940,14911200.000000
4.422890,14904800.000000
4.454860,14908600.000000
4.486800,14938600.000000
4.518790,14969600.000000
4.550640,14997400.000000
4.582670,14955900.000000
4.614450,14543600.000000
4.646320,13261800.000000
4.678340,10903500.000000
4.710210,7333710.000000
4.742200,2980180.000000
4.774060,375890.000000
4.806100,92299.000000
4.838200,455117.000000
4.869980,1620440.000000
